CreatedAt,UserId,UserName,UserLocation,Protected,UserFollowers,UserFriends,Tweet
21-12-2020 13:43,1.14244e+18,DC Paul Pogba ⚽🇬🇭,"Accra, Ghana",False,1110,1137,b'RT @ManUtd: Who else woke up with some serious #MondayMotivation this morning? \xf0\x9f\xa4\x9c\xf0\x9f\xa4\x9b\n\n#MUFC https://t.co/FhydYdpZvr'
21-12-2020 13:43,1.14578e+18,_Doskii,,False,3087,3000,b'RT @ManUtd: A chance to get your hands on a @McTominay10 United shirt? Yes please! \xf0\x9f\x98\x8a\n\n#MUFC #MUNLEE'
21-12-2020 13:43,1370507564.0,TIMILEHIN🐺,Paradise,False,898,609,b'RT @ManUtd: A chance to get your hands on a @McTominay10 United shirt? Yes please! \xf0\x9f\x98\x8a\n\n#MUFC #MUNLEE'
21-12-2020 13:43,2565618384.0,Man United 7,,False,402,179,b'RT @ManUtd: A chance to get your hands on a @McTominay10 United shirt? Yes please! \xf0\x9f\x98\x8a\n\n#MUFC #MUNLEE'
21-12-2020 13:43,1.09418e+18,Louie Viller,"Manchester, England",False,73,528,"b""RT @Busby_UTD: I've been watching a few full matches from Moises Caicedo (linked with #MUFC) playing in the Copa Libertadores over the past\xe2\x80\xa6"""
21-12-2020 13:43,1.00366e+18,NBdablya,"Edinburgh, Scotland",False,15,107,"b""RT @ManUtd: The first time we've scored six or more in a #PL game since United 8 Arsenal 2 in 2011...\n\nAnd look who was there to enjoy it\xe2\x80\xa6"""
21-12-2020 13:43,1.32629e+18,Salifu Halifa,"Greater Accra, Ghana",False,51,457,"b""RT @ManUtdMEN: United 'to consider Marc Overmars appointment if Dutchman leaves Ajax' #mufc https://t.co/m02t2olGT3"""
21-12-2020 13:43,7.60049e+17,Shina_Ayo™🇳🇬,"Lagos, Nigeria",False,1172,360,"b'RT @ManUtd: Jaw-droppingly good numbers, right @Daniel_James_97? \xf0\x9f\x98\x89\n\n#MUFC #PL https://t.co/ygZoojzOM7'"
21-12-2020 13:43,98085578.0,CHIEF ABBAS™,"Abuja/Ile - ife, Nigeria .",False,15172,15287,b'RT @ManUtd: A chance to get your hands on a @McTominay10 United shirt? Yes please! \xf0\x9f\x98\x8a\n\n#MUFC #MUNLEE'
21-12-2020 13:43,1.21564e+18,Nana Yaw,,False,98,781,b'RT @ManUtd: A chance to get your hands on a @McTominay10 United shirt? Yes please! \xf0\x9f\x98\x8a\n\n#MUFC #MUNLEE'
21-12-2020 13:43,2692083719.0,Agili_Accessories,,False,11,64,"b'RT @ManUnitedZone_: Roy Keane on Mctominay: ""I even like his haircut, I think his haircut has made him sharper."" #MUFC [Sky] https://t.co/i\xe2\x80\xa6'"
21-12-2020 13:43,1.12651e+18,വുഡ്‌വാർഡിന്റെ തന്ത,"Manchester, England",False,263,159,"b""Are these players still good enough for #MUFC ???\nNo..I don't think so..\n\nAre these players better than what Leeds\xe2\x80\xa6 https://t.co/tny2WuQKql"""
21-12-2020 13:43,1.13446e+18,Machine Gun🏃🏼,"Ogun, Nigeria",False,1921,2523,"b'RT @ManUtd: Jaw-droppingly good numbers, right @Daniel_James_97? \xf0\x9f\x98\x89\n\n#MUFC #PL https://t.co/ygZoojzOM7'"
